Taxon,FAD,LAD
Palaeosyops_leidyi,50.3,46.2
Palaeosyops_paludosus,50.3,46.2
Palaeosyops_robustus,50.3,46.2
Palaeotherium_duvali,41.3,33.9
Palaeotherium_magnum,41.3,33.9
Palaeotherium_medium,47.8,28.4
Palaeotherium_muehlbergi,41.3,33.9
Paleotomus_radagasti,61.7,55.8
Pantinomia_ambigua,64.6,61.7
Pantolambda_bathmodon,64.6,61.7
Pantolambda_cavirictus,64.6,56.8
Pantolestes_natans,46.2,33.9
Paraceratherium_grangeri,37.2,28.4
Paramys_delicatus,55.8,46.2
Pararyctes_pattersoni,64.6,56.8
Paromomys_depressidens,64.6,56.8
Paroodectes_feisti,48.6,46
Patriofelis_ferox,50.3,40.4
Patriofelis_ulta,50.3,46.2
Peligrotherium_tropicalis,64.6,61.6
Pelycodus_trigonodus,55.8,48.6
Pentacemylus_leotensis,46.2,40.4
Pentapassalus_pearcei,55.8,50.3
Peramus_tenuirostris,145,140.2
Peratherium_perrierense,38,23.03
Perchoerus_probus,46.2,30.8
Periptychus_carinidens,63.3,56.8
Periptychus_coarctatus,66,61.7
Phascolestes_mustelula,145,140.2
Phascolestes_mustelulus,145,140.2
Phenacodus_primaevus,61.7,56.8
Phenacolemur_pagei,61.7,55.8
Pholidocercus_hassiacus,48.6,46
Phosphatherium_escuilliei,56,47.8
Plesiadapis_cookei,58.7,55.8
Plesiadapis_fodinatus,61.7,55.8
Plesiadapis_rex,61.7,56.8
Plesiolestes_problematicus,64.6,56.8
Praolestes_maximus,58.7,55.8
Premonycteris_vesper,50.3,47.8
Pristerognathus_polyodon,265.1,254.14
Probainognathus_jenseni,242,237
Probathyopsis_harrisorum,61.7,55.8
Probathyopsis_praecursor,56.8,55.8
Proburnetia_viatkensis,265.1,254.14
Procerberus_formicarum,66,64.6
Procynodictis_progressus,46.2,40.4
Procynosuchus_delaharpeae,253,253
Prodiacodon_paucus,61.7,56.8
Prodiacodon_tauricinerei,61.7,48.6
Progalesaurus_lootbergensis,251.902,251.2
Progalesaurus_lootsbergensis,251.902,251.2
Prolacerta_broomi,251,251
Prolimnocyon_atavus,56.8,48.6
Promoschorhynchus_platyrhinus,254.14,251.2
Propalaeanodon_schaffi,61.7,56.8
Propalaeosinopa_diluculi,64.6,55.8
Prosictodon_dubei,265.1,259.1
Protheriodon_estudianti,242,227
Prothryptacodon_ambiguus,64.6,61.7
Protitan_grangeri,48.6,37.2
Protitan_robustus,48.6,37.2
Protochriacus_simplex,66,64.6
Protoptychus_hatcheri,46.2,40.4
Protoreodon_parvus,46.2,40.4
Protoreodon_petersoni,46.2,33.9
Protoreodon_primus,46.2,37.2
Protoreodon_pumilus,46.2,37.2
Protuberum_cabralense,242,227
Protuberum_cabralensis,242,227
Protungulatum_donnae,66,64.6
Proviverra_major,50.3,40.4
Proviverra_rapax,50.3,46.2
Prozeuglodon_atrox,41.3,33.9
Prozostrodon_brasiliensis,237,227
Pseudocynodictis_gregarius,38,33.9
Pseudotherium_argentinus,231,231
Pseudotomus_horribilis,50.3,46.2
Pseudotomus_petersoni,46.2,37.2
Pseudotomus_robustus,50.3,46.2
Psittacotherium_multifragum,64.6,56.8
Pterodon_dasyuroides,37.2,33.9
