Taxon,FAD,LAD
Elomeryx_armatus,33.3,24.8
Elomeryx_asticus,37.2,33.9
Elomeryx_borbonicus,23.03,15.97
Elomeryx_crispus,33.9,23.03
Elomeryx_garbanii,30.8,26.3
Elomeryx_japonicus,28.4,23.03
Elotherium_clavum,37.2,33.3
Elph_borealis,259.1,251.902
Elphidotarsius_florencae,63.3,61.7
Elphidotarsius_russelli,61.7,56.8
Elphidotarsius_shotgunensis,61.7,56.8
Elphidotarsius_wightoni,61.7,56.8
Elpidophorus_elegans,61.7,56.8
Elpidophorus_minor,61.7,56.8
Embolotherium_andrewsi,37.2,33.9
Emydops_arctatus,265.1,259.1
Emydops_oweni,259.9,254.2
Emydops_spp,261,261
Endothiodon_bathystoma,256,256
Endothiodon_tolani,256,256
Ennatosaurus_tecton,268.8,265.1
Eoastrapostylops_riolorense,50.3,47.8
Eocasea_martini,303.7,298.9
Eoconodon_copanus,66.043,63.3
Eoconodon_coryphaeus,66,64.6
Eoconodon_ginibitohia,66.043,63.3
Eoconodon_hutchisoni,66.043,63.3
Eoconodon_nidhoggi,66.043,63.3
Eodelphis_browni,78,72.1
Eodelphis_cutleri,70.6,66.043
Eodicynodon_oelofseni,268.8,265.1
Eodicynodon_oosthuizeni,264,264
Eohippus_angustidens,55.8,50.3
Eohippus_cristatus,55.8,50.3
Eomaia_scansoria,125.5,122.5
Eoryctes_melanus,55.8,50.3
Eosigale_gujingensis,61.7,58.7
Eosimops_newtoni,265.1,259.1
Eothyris_parkeyi,287,287
Eotitanops_borealis,55.8,46.2
Eotitanosuchus_olsoni,268,265
Eotylopus_reedi,40.4,33.9
Eoungulatum_kudukensis,94.3,89.3
Eozhelestes_mangit,99.7,94.3
Epidolops_ameghinoi,58.7,50.3
Epitriplopus_uintensis,46.2,40.4
Eppsinycteris_anglica,56,47.8
Ericiolacerta_parva,251.902,251.2
Erinaceus_europaeus,,
Eriphostoma_microdon,265.1,259.1
Eritherium_azzouzorum,58.7,55.8
Erlikotherium_edentatum,48.6,37.2
Ernanodon_antelios,61.7,55.8
Ernestokokenia_parayirunhor,55,50
Escavadodon_zygus,63.3,61.7
Estemmenosuchus_mirabilis,268.8,265.1
Estemmenosuchus_uralensis,268.8,265.1
Esthonyx_acutidens,50.3,46.2
Esthonyx_bisulcatus,55.8,50.3
Esthonyx_gunnelli,55.8,50.3
Esthonyx_spatularius,55.8,50.3
Eubrachiosaurus_browni,227,208.5
Euchambersia_mirabilis,255,255
Eudolops_tetragonus,48.6,37.2
Eumys_elegans,37.2,26.3
Euptychognathus_bathyrhynchus,259.1,251.902
Euromycter_rutena,283.5,272.95
Eusmilus_dakotensis,33.9,28.1
Eusmilus_sicarius,33.9,33.3
Euthlastus_cordiformis,155.7,145.5
Exaeretodon_argentinus,237,227
Exaeretodon_riograndensis,237,227
Exaeretodon_statisticae,237,227
Exmus_mini,55.8,48.6
Ferugliotherium_windhauseni,84.9,66.043
Forstercooperia_totadentata,48.6,37.2
Fortunodon_amalitzkii,265,252.3
Fortunodon_trautscholdi,265,252.3
Foxraptor_atrox,150.8,145.5
Fruitafossor_windscheffeli,155.7,150.8
Galechirus_scholtzi,265.1,259.1
Galeops_whaitsi,265.1,259.1
Galepus_jouberti,259.1,254.14
Galesaurus_planiceps,251.2,251.2
Gallolestes_agujaensis,84.9,70.6
Gallolestes_pachymandibularis,84.9,70.6
Galulatherium_jenkinsi,99.7,70.6
Gashatostylops_macrodon,58.7,55.8
Gaylordia_macrocynodonta,58.7,48.6
Gazinocyon_vulpeculus,55.8,50.3
Geikia_elginensis,254.14,251.902
Geikia_locusticeps,254.14,251.902
Gelastops_joni,63.3,61.7
Gelastops_parcus,61.7,56.8
Gervachoerus_jaegeri,48.6,40.4
Glanosuchus_macrops,268.8,259.1
Glasbius_intricatus,70.6,66.043
Glasbius_twitchelli,70.6,66.043
Glaucosaurus_megalops,283.5,272.95
Gnathotitan_berkeyi,48.6,37.2
Gobiatherium_mirificum,55.8,37.2
Gobiconodon_borissiaki,125.45,112.6
Gobiconodon_hopsoni,140.2,130
Gobiconodon_ostromi,125.45,99.7
Gobiconodon_zofiae,125.45,122.46
Gobiohyus_orientalis,48.6,37.2
Gobiohyus_pressidens,48.6,37.2
Gobiohyus_reshetovi,48.6,37.2
